,Indicador Global de la Actividad Económica,Actividades primarias,Actividades secundarias,21 Minería ,"22 Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",23 Construcción ,31-33 Industrias manufactureras ,Actividades terciarias,43 Comercio al por mayor,46 Comercio al por menor,"48-49-51 Transportes, correos y almacenamiento; Información en medios masivos ",52-53 Servicios financieros y de seguros; Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,"54-55-56 Servicios profesionales, científicos y técnicos; Corporativos; Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación",61-62 Servicios educativos; Servicios de salud y de asistencia social ,"71-81 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos; Otros servicios excepto actividades gubernamentales",72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,"93 Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",Year,Month
55,71.1007083307787,75.1578669355266,82.1007516767483,102.316883617717,47.9607328091883,77.0174536293328,78.4843024796595,64.8423783780763,57.3272157512854,62.0996537029662,57.4701072726004,54.736458839276,68.6630236074566,81.1440170412545,73.2843467474942,95.7783988362911,85.718001571493,1997,8
56,71.3877300738821,74.4156515094135,82.1492129060119,104.007465426275,47.9877086004898,76.6887583491002,78.9577191962792,65.1690813267393,57.5136417453898,62.7608207061594,57.4700023110532,54.8130766718187,69.2865499531034,81.1156772293357,74.3117561163436,96.5252022012441,85.7601963635379,1997,9
57,72.3217872035373,85.1316683430224,82.9907372117292,104.065220849547,48.148096254527,75.8151665129733,80.09303070026,65.9431530622006,58.6344023962694,63.6865292979598,59.1753434798742,54.9957398195064,70.9507313145413,81.7325544166452,74.1770418619659,96.5748751502136,85.8231111207556,1997,10
58,72.5667455582795,80.2995630661526,83.1206705512313,104.302190991483,47.5403175794386,75.3244699693524,81.2360878071742,66.5250747358473,60.9023611279891,65.4512376520249,60.2952210225436,55.0725453425421,70.6919180993897,81.8243187809582,74.9681802322337,96.468167125437,85.5847794039547,1997,11
59,72.3959128583122,73.197800852153,83.2594703682432,102.826526027154,47.6492585513164,76.1428202308287,80.8317919237201,66.5191499001677,60.2124616965988,65.6139426747457,59.5455644825343,55.1522032438179,70.9711737103705,82.7590085847189,74.2111684518957,96.8708204785403,84.9993480466868,1997,12
60,72.715840834667,66.7835152566197,83.7522673013471,103.069556286102,47.5159698767997,75.4017462486816,82.5671676938407,66.9450856550194,60.2549523770786,67.0621767989087,60.3726735107637,55.3827486293147,74.831740301835,81.6718962189634,75.2362531971106,97.454011961484,84.6048542712594,1998,1
61,73.6098167850732,80.5658852758255,85.3125198704763,105.198486265491,47.3136522207689,77.8175451198761,83.2025740820114,67.0294909035914,60.4947658012973,66.8966795848716,60.6777236238951,55.5784491604037,72.395734644576,82.1888465085031,75.5006374352537,96.2563828372567,84.2566422061379,1998,2
62,74.3593728763119,81.5845800639987,86.0013698357928,104.568550237736,47.0297581799859,78.3927354851572,84.1902125960849,67.496116810013,60.9612068691492,67.8025823034244,61.2711599052416,55.7449442837482,72.3284446545154,82.825112615055,76.8362646841688,96.9404909015105,84.1080061508907,1998,3
63,74.2569469639518,78.3498578018308,85.6513311615553,105.428845303964,47.0352092310408,79.0567311681618,83.5682039157093,67.7065200879008,61.6588559745952,68.2732366459665,60.8783855516097,55.8884109982762,73.299335498714,82.593035288644,76.2458729202567,96.9427139084227,84.1601905519919,1998,4
64,74.1589320743642,71.834013961044,86.2372593449315,104.886100458659,47.3736174884052,78.9751881778965,84.6868097312856,67.7628949648935,61.6096148091843,67.58002889938,61.075712090165,56.10449362941,73.1254542739286,81.4929365230516,76.5156971102225,98.4008364946463,84.2334266780074,1998,5
65,73.5412049509236,76.4962951645633,84.9500894539811,103.10234179378,47.6113448622533,78.7497673819446,83.5742547261833,67.3832819435783,59.511418059377,65.7198868592386,61.1331462484616,56.2647892611031,73.0468869625585,82.7885307166806,76.4245080909801,97.6614750801759,84.2920708588725,1998,6
66,74.3870160606369,82.6274412023424,85.5533119983557,103.03834137217,48.4045981714406,80.3629623833992,83.9908332599728,67.8067475631778,61.356500591742,67.580141696825,61.4608369097061,56.2735108154533,72.2089479057275,83.2575777124901,76.3933723022467,98.2468422765086,84.3490619683859,1998,7
67,74.4615243517729,81.2574638327117,85.5749409038782,102.06989805272,47.9644449651554,80.2971604486688,84.477267994519,67.9422714861436,61.5373101897778,67.6997759341885,61.6052474941221,56.5240867753937,72.445926909939,83.0827411208968,75.9928134056552,98.725743166802,84.3969670568833,1998,8
68,74.1232506749887,79.9878432600182,85.2436328662569,98.9774288838556,47.916575739346,83.7379307687254,83.6686138966218,67.7174463611985,60.4886082495188,66.9313607663996,61.5408644497977,56.5943897292292,72.4995413578845,83.1411748662473,76.3247845076533,98.5576985572849,84.4598396666676,1998,9
69,73.840289405399,77.0479718771977,85.240537074301,96.2652758653873,48.2370166709063,82.3174915374755,84.4468194052434,67.685312476993,60.6354878859937,66.9253969877733,61.100797677724,56.5373517088778,72.5320480103172,83.2770800184821,76.3373330374305,98.2473207586011,84.5535178842569,1998,10
70,74.2282316389824,77.2598373950387,85.8625790065674,105.513537261434,48.5037215124949,77.501065720192,84.5012778356346,67.7667910797769,61.0985028833837,66.9572080600942,62.1846277061274,56.7027607783645,72.331774700555,83.27560726725,76.1273189831334,98.9089944353695,84.3482014804917,1998,11
71,74.6170982868461,77.797221463081,86.5928296584974,104.596196922015,49.5687098442277,81.5760010362006,84.5205977046234,67.8982070934733,60.5475689976028,67.3387073305152,62.264355679187,56.8140366533946,72.6137237593773,82.8875277411432,76.6730292483983,99.0109493120311,83.8123344026228,1998,12
