,Year,Month,CA Rural,CA Urbano,CANA Rural,CANA Urbano
109,2001,2,396.6748172332581,575.4565035315466,836.8437277719706,1362.9474818479973
110,2001,3,398.6975899891077,578.1305252401266,841.731713336151,1372.5397810952375
111,2001,4,401.95012999902855,581.8644562398033,845.0338660125434,1376.4548873415697
112,2001,5,404.82148095147556,584.8518484818276,845.1463888259641,1374.5205701335353
113,2001,6,405.3127534959001,585.8830963989539,846.9257513555889,1377.8499012269235
114,2001,7,403.98491877375693,585.514420419442,844.8592108130931,1376.2910282602832
115,2001,8,411.13691573699776,593.4816044541992,853.5282707164183,1387.4897138739168
116,2001,9,413.8920651923123,596.4019286793225,862.08166461428,1402.825353882943
117,2001,10,418.7895016175601,601.0320642697534,868.1310992170464,1409.919732171748
118,2001,11,419.795085578596,602.1085896636079,874.1976886101168,1419.718569296414
119,2001,12,422.2307927612941,606.556924729239,877.5371023425532,1425.5578925701298
120,2002,1,428.3897090676566,614.9259102224443,888.3200302198554,1443.6592915666663
121,2002,2,414.1761411749577,603.5576285296665,880.769422731662,1444.326597086732
122,2002,3,414.09465532310065,604.0714065044333,883.179704478317,1449.5403234388127
123,2002,4,419.59196502605096,610.284900787933,889.737398506117,1457.075616825378
124,2002,5,422.94926586761613,613.2671300081741,889.9036945836046,1454.151409926888
125,2002,6,427.639510018479,618.2907535338292,895.4009241185314,1460.624580205047
126,2002,7,431.7548887742102,622.8360057156742,899.408722599103,1464.9607050218074
127,2002,8,431.3214400980157,623.4202507454451,900.9293798104783,1469.272067076376
128,2002,9,430.12966738255915,623.0456360114155,904.4724333716042,1478.8374511538323
129,2002,10,429.7727261215944,622.9069438131687,906.9672771554588,1483.5877921709343
130,2002,11,435.0958029560777,629.4273459733616,917.7889920808893,1500.063001411537
131,2002,12,447.07232882306135,641.2019885456201,930.9490198040714,1513.610394534058
132,2003,1,445.86065389921464,641.1285557419793,931.8936729379435,1517.0775090197435
133,2003,2,441.50316033060386,638.6569624134577,929.21217816804,1517.9076393495836
134,2003,3,452.0945169945548,650.1757356249844,941.6032052124137,1532.2364736615991
135,2003,4,445.041406987985,644.508064695785,934.6778013355422,1526.6239244551284
136,2003,5,445.4929827545556,644.7830255636984,930.6303870823494,1518.2673855553205
137,2003,6,445.6808499833569,644.5116653046447,931.2768342591078,1518.7458643880925
138,2003,7,451.52747973041517,650.1374921849024,937.0988308859321,1524.1362587858066
139,2003,8,448.96502302807386,647.8001038240111,936.2298842961162,1525.6433008760418
140,2003,9,452.59930820853475,651.559337888717,943.2606335329265,1536.1842125022606
141,2003,10,454.278765413667,653.0876044513087,946.9362528061354,1541.065495949278
142,2003,11,459.95075044836585,659.9221221393443,960.1304357494164,1561.4025171885141
143,2003,12,472.0652716995445,673.5319246617414,972.6787003881593,1575.5988487693562
144,2004,1,471.34091214351406,675.7450181819403,975.3354376316144,1583.2213171611957
145,2004,2,466.24857364217695,672.7938934770717,973.3828348713969,1585.816759512118
146,2004,3,466.05579786939995,673.5677507090433,974.9055245595945,1589.4496588976542
147,2004,4,470.3493758074222,678.030788762037,979.9076704161564,1595.0351676256048
148,2004,5,472.92908700755356,681.4985518218762,978.0472246591875,1590.0688266803231
149,2004,6,466.29550048144654,675.7791665598919,972.6220887331654,1586.4760505490976
150,2004,7,468.88146984088115,678.8959140515555,976.3182890286329,1591.4064260134726
151,2004,8,479.7535061337711,690.703487364905,989.0844820162366,1606.9377922328977
152,2004,9,495.6624227879319,708.5427795639768,1008.9874423004173,1632.7942468525293
153,2004,10,513.7425251642854,727.7220081256293,1029.4927202513854,1655.979327080102
154,2004,11,521.480854040559,735.8509589358957,1044.5571364938187,1677.0416703108394
155,2004,12,514.8520417532953,731.2614952089872,1039.5075931584133,1674.6756581078535
156,2005,1,492.6598360299856,711.4747115802903,1019.564017730703,1658.5826535057727
157,2005,2,488.99451636614094,708.6513453634773,1017.2128871278021,1657.5487002886389
