,TOTAL,Construcción,    Residencial,    No residencial,Maquinaria y equipo,Nacional,Equipo de transporte,"Maquinaria, equipo y otros bienes",Importado,Equipo de transporte,"Maquinaria, equipo y otros bienes",Year,Month
135,75.9119531576451,87.2931784776265,95.663669963391,80.8369526149963,56.7814539740841,65.3245367723427,50.1171221529092,84.9032232847543,51.0394375968045,50.342724226945,50.9876498890138,2004,4
136,75.5551466871724,85.9793511832185,93.9398457932879,80.344296559634,58.1371475800065,66.0893892323621,50.8307629361196,85.0246638849291,52.6944858742537,57.0485398177058,52.1084117410441,2004,5
137,75.7344508983659,86.8509669994054,95.3786145469009,80.5432557674948,58.8891318229073,65.254526140062,49.297473234996,85.9298444584458,54.4307540449669,60.6743552408056,53.4819387479303,2004,6
138,75.6853232422111,84.9375442668975,91.935206539283,80.1066950954102,60.5276796228515,65.9462060105233,50.8882684229958,85.7313399381819,56.8510323466345,49.2501879872278,57.8673025461117,2004,7
139,73.737194551475,82.5647926712994,86.5352366342621,80.059373655483,59.4195155838827,69.2539117033169,53.5977866591193,88.5823710988437,52.3676680368973,51.2228245754974,52.9618744475088,2004,8
140,74.6252738885186,84.1365335761989,90.7399326533654,80.3825772487111,59.8426886669186,68.7036534139287,53.7004409433092,89.1127535515047,54.1938494707341,53.4427280136359,53.722641379308,2004,9
141,75.8963248119143,85.1625787569889,91.1005952198382,80.9794644963782,62.0256321775287,71.5139856890775,56.0217611981303,91.261687834965,55.4692693523921,55.1033146082167,55.7365923855272,2004,10
142,77.0217948966158,84.7873574581981,90.8984046300135,80.7470630222871,63.6385788018066,71.3118399896861,54.69308282444,90.9809693817085,59.2604143399609,63.0305455712345,58.8487648083654,2004,11
143,77.1696020331343,85.0471459705884,91.2456302180509,81.0137432499858,63.7392033196102,72.7454556992838,56.9944948211538,92.1878489628139,58.358898816913,72.5407958520341,56.4294435013218,2004,12
144,79.4093136680329,90.3304878061912,97.609714766473,83.4173992137903,63.6827449336767,68.1713659010163,48.7052601053981,92.4821917244003,60.7352069798632,74.5730071668379,58.0615936775066,2005,1
145,78.7332734257749,87.0378203313983,95.8984384867967,80.243874263476,64.8466794137423,71.6862797648288,56.1691712249024,91.3443838814374,59.476890208386,63.7722818142783,57.8428268372915,2005,2
146,79.7054682401596,88.9310789339326,97.4432195040631,81.7796049365035,64.8760730617584,70.9946486379638,55.568677146518,90.9760964602735,61.0317154345957,70.6638941963894,59.4019677064291,2005,3
147,78.5013415503954,86.8259482319561,94.9442067127396,80.3906314294556,65.0966460131378,73.5288366581454,57.8872884159425,93.4906332442624,59.8150871773157,70.1961925195091,58.1632001987303,2005,4
148,79.3014331783803,87.9804690815451,95.5026953375458,82.5457968438654,64.8711980383353,74.9867370747008,58.5959115617018,95.0554261252536,57.4063946459355,72.5013802292472,55.0938995692456,2005,5
149,79.5813535633038,87.8445147235228,97.3996396648265,81.0568726518077,66.2592216654825,71.9908473347404,56.2930637524561,92.9486972271059,62.6196051725266,67.7836037688913,61.6394005749243,2005,6
150,78.4684061011262,86.2554290968763,94.2339521169215,81.0370184644706,66.2716455282928,68.271949474301,49.5802920763136,91.9222090139776,64.0513698981306,70.0441349771377,62.9957866504425,2005,7
151,79.6098249124803,86.0918957752206,92.1347506880726,81.9056912032365,69.5410749985347,73.1327668705087,56.2591026096362,94.9510032710525,66.9755427453791,75.1504569470575,65.9516233129997,2005,8
152,80.4016150711113,86.9701443935294,94.5433009596218,82.2951630316692,69.8409344060632,76.4159950127753,61.6895645287459,94.9944376390008,65.3316456233664,76.6527092293717,63.0303049240646,2005,9
153,80.1675842837172,86.8505055650317,94.8716120528292,81.4848185419979,69.6004847656488,78.3719444321806,63.943798099821,96.372362060692,64.143126486713,74.1900529523166,63.1496219701388,2005,10
154,82.6535190935138,89.7611054430808,98.8150843810796,83.4343067338075,71.8815438371436,79.4012710154224,65.8351459272403,96.8985991488308,66.6921522570569,74.4555501325453,65.4944796706226,2005,11
155,85.2689023971002,91.8223809413239,100.203809613252,86.5249629365484,72.6970986331916,79.4826250515079,63.4542773323662,97.6912706828224,69.737141133893,70.3561964004379,70.7869091368298,2005,12
156,85.1992753214656,91.8112929493713,98.6829137332949,84.5676415653259,76.9617529024587,82.8119282450551,67.4083720689406,101.580573479101,73.22145900318,76.4863816020934,72.3025110108553,2006,1
157,84.596887262975,91.0413492371846,99.3014505440214,84.7832686591941,73.6337338157683,79.4011058532707,63.7690885856998,98.8829126571229,69.0110199088292,76.828578816332,66.7045874678057,2006,2
158,86.6681754036894,94.2658852122299,103.559117347343,86.293389096383,74.9724165182673,78.4315768395074,60.6323860835233,101.339332515932,72.3047327568868,76.3048059665487,71.9665738726833,2006,3
159,87.1840660284319,94.1990665873736,105.019349330896,86.1302363881024,75.9749472722009,77.9911187504255,60.6131648960056,101.066646656519,74.7744162848326,81.724206979113,72.6561655758147,2006,4
160,87.0980442063214,94.6695949783415,105.674156698353,86.5922475798023,74.9180176459508,79.6064059457448,60.3270489234667,103.391353673416,71.5602575088112,74.7174891067758,70.5799504566414,2006,5
161,87.3696502769359,94.4225879931776,104.576575766853,87.2854791534538,75.1626960654695,79.9117574227236,60.057411539638,106.253667228672,71.7324854805881,78.8152494580202,70.5862024158268,2006,6
